Brand,processor_name,RAM,Storage,Price,original price,discount,ratings,number_of_ratings,number_of_reviews,page number
Apple,Apple,16,512,151900,,37%,4.7,2786,179,7
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,8
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,8
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,8
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,8
HP,Intel,16,512,93322,,37%,4.2,1016,45,8
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,8
Apple,Apple,16,512,151900,,37%,4.7,2786,179,8
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,8
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,8
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,8
HP,AMD,16,512,65387,,37%,4.1,26,1,8
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,8
Apple,Apple,16,512,151900,,37%,4.7,2786,179,8
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,8
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,8
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,8
Apple,Apple,16,512,127900,,37%,4.7,2786,179,8
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,8
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,8
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,8
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,8
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,8
Apple,Apple,16,512,151900,,37%,4.7,2786,179,8
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,9
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,9
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,9
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,9
HP,Intel,16,512,93322,,37%,4.2,1016,45,9
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,9
Apple,Apple,16,512,151900,,37%,4.7,2786,179,9
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,9
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,9
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,9
HP,AMD,16,512,65387,,37%,4.1,26,1,9
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,9
Apple,Apple,16,512,151900,,37%,4.7,2786,179,9
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,9
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,9
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,9
Apple,Apple,16,512,127900,,37%,4.7,2786,179,9
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,9
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,9
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,9
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,9
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,9
Apple,Apple,16,512,151900,,37%,4.7,2786,179,9
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,10
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,10
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,10
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,10
